Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,20,7878778515,0.03574939374267254,46.6005802154541,34,1717
0,18,52157214696,0.038633634060781824,46.8904972076416,34,1628
0,16,10523104047,0.011190426102208157,47.125816345214844,34,1652
0,8,90307607198,0.017514304344511827,46.508073806762695,34,1677
2,4,63769957802,0.05280527953803753,47.345638275146484,34,1733
2,27,65501266424,0.022162718615969804,46.816110610961914,34,1731
2,19,63126713664,0.007178520745439001,46.86093330383301,34,1601
2,22,77244481490,0.07448282501622275,46.56720161437988,34,1626
2,7,25371017505,0.0008601016734345684,47.35422134399414,34,1757
0,13,53997339506,0.0034300829886379264,46.38791084289551,25,1604
0,25,42814664923,0.07206570002025127,47.29151725769043,25,1692
0,21,17385781847,0.01408509940912917,46.56577110290527,25,1636
0,17,97224045925,0.027605092228611225,46.866416931152344,25,1685
0,14,47608167849,0.06976635568584899,46.99826240539551,25,1642
2,15,7878247343,0.02684515527573212,47.27005958557129,25,1725
2,6,97221926560,0.006671779207775655,46.77844047546387,25,1706
2,24,30327253897,0.07310549302767481,47.04165458679199,25,1687
2,8,34697114309,0.04968269558373574,46.84019088745117,25,1620
2,22,25577925611,0.0030625243884974886,47.20807075500488,25,1665
0,14,5869899077,0.0294984625516594,47.21832275390625,29,1680
0,2,30438510955,0.001942700113311089,47.013282775878906,29,1638
0,15,83178314454,0.02987740898810479,46.88692092895508,29,1731
0,7,16783121988,0.061617057267984846,47.56760597229004,29,1698
0,23,78477427557,0.01227755222939286,45.84026336669922,29,1689
0,28,67820483908,0.014876129620890584,46.834468841552734,29,1643
0,23,85282053513,0.01743610505223081,46.98801040649414,29,1689
2,23,32609618130,0.0033930668691241226,47.04022407531738,29,1690
2,3,55770862111,0.006478583799439006,46.80609703063965,29,1703
2,13,607486909,0.10925750044534106,46.71812057495117,29,1766
0,4,69013019638,0.04872948847469848,46.68092727661133,31,1700
0,28,65283645533,0.024192205623213156,48.88510704040527,31,1668
0,16,3151484472,0.020969588146952454,47.25241661071777,31,1629
0,6,12542038609,0.014838996213804223,48.47121238708496,31,1683
2,5,66170557966,0.014942822908630655,36.898136138916016,31,1642
2,8,41118326065,0.01670950767716577,49.29542541503906,31,1648
2,12,97250375992,0.04954269478325364,44.862985610961914,31,1618
2,19,49666814064,0.00323630583207078,47.426462173461914,31,1739
2,4,92131397941,0.0278103189719136,51.31053924560547,31,1700
2,30,5939808300,0.09280884432150434,43.721914291381836,31,1616
0,16,83647867141,0.021318074031474527,47.132253646850586,30,1669
0,1,20161702679,0.09753301038642735,46.95010185241699,30,1684
0,15,22003887103,0.012713784804211932,46.41294479370117,30,1653
0,15,22253901449,0.005810962900605705,47.086238861083984,30,1653
0,23,63442675364,0.009246206452068325,47.16181755065918,30,1681
0,10,43384310338,0.01088886319456413,46.79536819458008,30,1550
2,4,70108313275,0.019426703221702254,47.156333923339844,30,1624
2,27,70657940950,0.016125300512768934,46.67067527770996,30,1724
2,16,43995314765,0.00024741950541838273,46.83065414428711,30,1668
2,24,92262012304,0.044659005742962006,46.91290855407715,30,1676
0,31,84838885609,0.047204626040642315,47.02949523925781,31,1661
0,27,76858600104,0.05283770570911396,46.96989059448242,31,1700
0,12,5179707891,0.04424586622980811,52.61635780334473,31,1667
0,13,44436958424,0.018027282190875116,46.75555229187012,31,1678
0,27,42578867066,0.003937426602070848,47.014713287353516,31,1699
0,7,43134126938,0.003905984332563506,46.984195709228516,31,1670
2,21,84300472427,0.00918867966810847,47.1796989440918,31,1658
2,5,99056995506,0.10904426390489991,46.77915573120117,31,1710
2,8,3852505605,0.012094427555687888,46.807289123535156,31,1628
2,8,65670698401,0.008736981995791412,47.85919189453125,31,1628
0,11,35636338441,0.010845528605735488,47.525882720947266,34,1682
0,32,40725475418,0.03066178483322708,46.51308059692383,34,1670
0,4,94514713508,0.01877017712607102,46.95320129394531,34,1658
0,22,2772481361,0.04705969400121603,46.3862419128418,34,1722
0,14,65551045900,0.02374967856534663,47.50871658325195,34,1708
0,8,92850437797,0.01673940106702485,62.3316764831543,34,1706
2,18,24309424242,0.09222554982159298,46.868324279785156,34,1659
2,5,47770043400,0.021167323536168334,46.67830467224121,34,1577
2,17,21915075706,0.06978617305353767,46.73433303833008,34,1671
2,34,33555135621,0.0774758806069959,47.20354080200195,34,1705
0,2,59171169075,0.0018680080655181716,47.18303680419922,43,1672
2,21,39239122722,0.008471921936524917,46.6458797454834,43,1673
2,1,13174263257,0.0725322471924473,47.12867736816406,43,1702
2,8,69979883161,0.021554733151741442,46.421051025390625,43,1676
2,8,16478183247,0.019619561123838603,62.792301177978516,43,1676
2,14,4617224643,0.0014617345449695056,46.988725662231445,43,1632
2,15,57651331677,0.0636223324943049,46.956777572631836,43,1735
2,9,6671064819,0.04335266902948982,46.74339294433594,43,1668
2,14,72103637776,0.005068362312396154,46.45943641662598,43,1632
2,16,69991061962,0.006662380348315692,47.58715629577637,43,1623
0,42,1109595071,0.04298487629110736,62.83259391784668,52,1651
0,51,79236280930,0.010248026496209936,46.98514938354492,52,1668
0,25,5459736447,0.008145427864335445,46.91314697265625,52,1610
0,37,11210289373,0.01005533489517912,46.71835899353027,52,1611
0,8,82105429152,0.0164352872972811,46.70524597167969,52,1677
0,30,58984217102,0.01048702138746203,46.45800590515137,52,1664
2,45,74569795272,0.018629693953743913,47.04165458679199,52,1709
2,30,6626720505,0.03365725795534013,46.833038330078125,52,1664
2,4,74546023463,0.015154761127207162,46.965837478637695,52,1610
2,45,69614379593,0.037147500159617326,47.324419021606445,52,1709
0,22,67501680606,0.00491190273346453,62.82973289489746,37,1652
0,3,13430655416,0.018283099411458104,46.59080505371094,37,1698
0,30,13043964900,0.00452641554347091,47.45340347290039,37,1644
0,24,13307791096,0.006274884615788786,46.66590690612793,37,1688
2,36,47436398081,0.004210589486097801,47.11151123046875,37,1632
2,24,94744025759,0.13725056614121245,46.67091369628906,37,1690
2,8,78456565709,0.003476047294844667,46.95582389831543,37,1617
2,24,8692342200,0.15109573485019087,62.393903732299805,37,1689
2,21,28176791190,0.07951555734701242,46.76389694213867,37,1672
2,33,55302322883,0.009409563627520838,46.96488380432129,37,1683
0,24,50719901034,0.024154863668069706,46.77295684814453,52,1667
0,43,3546741375,0.00858549181673822,46.9663143157959,52,1681
0,52,99752265097,0.031079237409033563,46.7376708984375,52,1691
0,15,25751847963,0.012114484158232628,47.06096649169922,52,1687
2,51,35692005394,0.008067092876730193,47.20449447631836,52,1675
2,10,73379417580,0.015569140276175689,47.07479476928711,52,1659
2,27,29248234654,0.07719581283435643,62.422752380371094,52,1631
2,5,61071312933,0.005186251365674203,46.89168930053711,52,1665
2,5,87662836923,0.012186360542502018,46.750783920288086,52,1665
2,4,96500366944,0.0835847185861523,46.854257583618164,52,1689
0,9,8455127018,0.025875568736390013,47.16968536376953,51,1621
0,3,52244402180,0.09357292671730986,46.85688018798828,51,1661
0,38,37849951044,0.03339212787566479,47.03211784362793,51,1697
0,2,41716558128,0.04136948743125329,46.292781829833984,51,1661
0,4,86366008130,0.03819332062247733,46.47207260131836,51,1713
0,23,47089560165,0.030634150667151375,47.031402587890625,51,1627
2,20,46012187631,0.09427264211466577,46.952009201049805,51,1696
2,7,22150486443,0.05464863774979805,47.20044136047363,51,1652
2,50,85235098112,0.0784365363245775,47.387123107910156,51,1690
2,15,94388968772,0.005985560074569066,46.74935340881348,51,1746
0,31,56290062537,0.027520864752274422,46.742916107177734,45,1715
0,34,30614023237,0.006918026956971042,47.002553939819336,45,1704
0,21,39489789257,0.0041532980731078155,46.78702354431152,45,1696
0,20,84528674500,0.030762231310921265,46.28300666809082,45,1669
0,42,34606499888,0.0014233593886518144,47.41048812866211,45,1659
0,3,85102544542,0.07717209375317441,62.252044677734375,45,1631
2,23,9356496996,0.017179832014560904,47.18446731567383,45,1763
2,12,50666701915,0.015231302881736053,47.11437225341797,45,1701
2,2,64804046964,0.02124728432112924,46.72384262084961,45,1685
2,40,20573540972,0.004386338607945603,47.063589096069336,45,1688
0,30,15287216324,0.039452700062421714,46.79131507873535,69,1700
0,68,75607268147,0.0038909606163254726,46.70286178588867,69,1719
0,20,66234405186,0.008387292663115897,46.90122604370117,69,1673
0,18,992447171,0.030177250717591333,46.827077865600586,69,1678
0,32,50003222365,0.012058856625269898,47.28531837463379,69,1734
0,16,6874489254,0.027869125704761803,46.87786102294922,69,1659
2,37,15215337452,0.053636937029840806,47.46556282043457,69,1642
2,58,47469473430,0.004886598072078553,46.46015167236328,69,1695
2,35,10964477076,0.08286275289331757,46.86903953552246,69,1655
2,2,19182388722,0.14567517320173679,46.93436622619629,69,1697
0,37,72981004109,0.0690909179459593,46.76532745361328,62,1669
0,4,8331622491,0.04524023597740571,46.7982292175293,62,1640
0,4,22448583704,0.001142299922177693,46.72503471374512,62,1639
2,8,61287971110,0.014167403690828482,47.33586311340332,62,1688
2,33,70524141893,0.045379875944942284,46.71788215637207,62,1714
2,52,56795138814,0.005644412316494068,53.35664749145508,62,1715
2,56,36882104813,0.08013926988152625,46.45848274230957,62,1719
2,44,28603240473,0.03526802153431164,47.41024971008301,62,1647
2,33,38329475956,0.004223812526358755,48.68268966674805,62,1713
2,46,90203047810,0.00025664805591993665,57.52682685852051,62,1639
0,28,55910988699,0.013725893643945847,46.887874603271484,61,1635
0,26,45043759700,0.12016444265799135,46.820878982543945,61,1683
0,20,92434727448,0.010249507335793495,46.5543270111084,61,1666
0,42,69447494376,0.019778954151909396,46.5703010559082,61,1692
2,22,3559712673,0.026670142779884002,47.17588424682617,61,1651
2,18,75147422501,0.06598441007643535,46.805620193481445,61,1772
2,17,86604077577,0.025903477227057988,47.46532440185547,61,1639
2,32,86457945445,0.025373963895087087,46.77581787109375,61,1739
2,58,86291996032,0.009555159156097079,46.73480987548828,61,1713
2,55,27299920058,0.029614774361297388,47.00636863708496,61,1704
0,53,40924792931,0.018109454777934558,46.956539154052734,69,1688
2,10,21301239933,0.004457686388001276,47.1644401550293,69,1714
2,35,99817476896,0.005010019695131407,47.101497650146484,69,1759
2,38,60187054002,0.03950696153294823,46.60940170288086,69,1751
2,47,17086077917,0.05448579544822184,46.83327674865723,69,1792
2,20,96402376187,0.013641035669678708,46.799659729003906,69,1756
2,63,22083610613,0.008299509018549502,47.16801643371582,69,1647
2,17,58686419969,0.06601731204303399,46.79369926452637,69,1654
2,15,37803662253,0.05147833132986662,46.74792289733887,69,1721
2,38,227009363,0.005446137707520437,46.45371437072754,69,1750
0,16,63479655649,0.045114762741959594,47.13606834411621,58,1666
0,9,17054653348,0.023362538590085646,47.08266258239746,58,1658
0,29,96404275916,0.0048690211829936405,69.84162330627441,58,1739
0,19,77251574206,0.006077883687569162,48.432111740112305,58,1645
0,29,50354336150,0.032524341413040204,50.65131187438965,58,1738
2,50,26316222544,0.07346453324449892,46.736717224121094,58,1692
2,5,46141673190,0.016207370337446462,49.65686798095703,58,1667
2,11,59942488947,0.019837025684302134,47.39022254943848,58,1672
2,49,26317564629,0.02496027235988726,48.035621643066406,58,1635
2,31,27715549356,0.013708362932183353,64.41187858581543,58,1689
0,32,81731344048,0.02367306229907739,47.52326011657715,78,1606
0,52,91037166062,0.03918938157544284,46.747684478759766,78,1754
0,41,31501819023,0.019540801128824184,46.87023162841797,78,1688
0,74,31801964616,0.017886876374492103,47.29938507080078,78,1671
0,2,41635764950,0.028158203850589834,47.13797569274902,78,1743
0,52,40447924777,0.012471939210846843,46.66566848754883,78,1754
0,5,23167472797,0.006432425772744464,46.35190963745117,78,1583
0,60,18776885574,0.054266576512764036,46.86331748962402,78,1699
2,78,44480212863,0.1772166048706612,46.79107666015625,78,1664
2,71,20405769292,0.015915551184491682,62.011003494262695,78,1651
0,69,10537933211,0.012087983271476007,46.97418212890625,71,1686
0,53,93989190665,0.01687860871524075,46.52523994445801,71,1658
0,62,31669441134,0.03931438116411798,46.63562774658203,71,1652
0,51,41231476058,0.11168306126528206,47.43385314941406,71,1631
0,32,60013548610,0.005237210911035849,46.76699638366699,71,1695
2,68,17267383189,0.06692530167567191,47.17898368835449,71,1693
2,22,79605330676,0.04856159994504368,46.93341255187988,71,1672
2,10,76842640647,0.0027714654025523004,46.8595027923584,71,1670
2,8,93250677159,0.004279651736939937,46.63586616516113,71,1667
2,3,49128483622,0.0172907044951794,47.33395576477051,71,1692
0,32,38225966936,0.030963202959293768,47.1186637878418,98,1641
0,84,95086571468,0.1112297733643071,46.75698280334473,98,1642
2,31,6997591982,0.02061319508098209,47.21975326538086,98,1733
2,71,68373958102,0.02840635440680884,46.68474197387695,98,1650
2,93,80791601933,0.05422708984124552,46.849727630615234,98,1706
2,14,9013830953,0.008506215325265683,46.87047004699707,98,1724
2,55,17741717691,0.01795870199783726,47.0578670501709,98,1703
2,2,44328701930,0.04839441070228786,46.78797721862793,98,1685
2,17,14086278191,0.006124864299421502,46.90098762512207,98,1699
2,69,15977523585,0.022037610614904928,46.68140411376953,98,1683
0,70,21785963602,0.027661301233944797,47.1651554107666,76,1674
0,42,57690256249,0.021075741607233883,46.75793647766113,76,1654
0,16,83251914823,0.026148547242126383,46.9970703125,76,1675
0,15,68313350969,0.053264880287187295,46.828269958496094,76,1635
0,16,19405237153,0.04084134019419358,47.18208312988281,76,1674
0,37,48514409879,0.028348844851729577,62.19291687011719,76,1655
2,43,17796615846,0.04174072547163719,47.0888614654541,76,1799
2,36,8277951833,0.01444328731099687,46.27370834350586,76,1674
2,59,79867283270,0.003697224761319444,46.886444091796875,76,1637
2,6,85130319165,0.020703809422056792,47.07622528076172,76,1673
0,58,14536663750,0.017546998235876483,46.79059982299805,84,1652
0,76,33076720168,0.049475778091835176,46.97918891906738,84,1718
0,18,40723937792,0.059037517620190556,46.9210147857666,84,1697
0,73,56622522675,0.0413279543857942,62.285423278808594,84,1732
2,57,48291875109,0.024117852211472206,47.03950881958008,84,1688
2,27,71392284286,0.04281819631278736,47.16324806213379,84,1702
2,27,16344127479,0.01758017196077711,46.80013656616211,84,1702
2,24,12395860619,0.05235709866056932,46.68140411376953,84,1652
2,6,91984724403,7.781208742026472e-05,46.556949615478516,84,1722
2,53,65689964363,0.008162150851314614,47.32680320739746,84,1638
0,64,66261922792,0.03823971375456367,46.83208465576172,93,1705
0,44,42653072381,0.02828480607198917,46.900272369384766,93,1677
0,58,29068162086,0.0049138040355315915,46.894073486328125,93,1670
0,38,96050683537,0.009870688378707125,46.86117172241211,93,1690
0,22,83515640182,0.02723175854620159,46.86379432678223,93,1665
2,10,50376675455,0.0949499422731177,46.871185302734375,93,1672
2,64,89035323661,0.02217990846123793,46.859025955200195,93,1705
2,90,33393111511,0.09293207458870224,46.79536819458008,93,1699
2,20,36238913045,0.026966300064813264,46.86594009399414,93,1699
2,81,52202684059,0.09611366430903391,46.86450958251953,93,1717
0,21,47354805237,0.006719518017151938,46.82636260986328,82,1609
0,36,87231597535,0.0073065370530985135,45.295000076293945,82,1699
2,49,37761337377,0.005708777152454945,35.42375564575195,82,1649
2,76,53211603572,0.027851930030972877,46.511173248291016,82,1600
